deleterious	harmful
malaise	uneasiness; vague feeling of ill health (without any particular pain or appearance of disease)
retrieve	recover; put right; find and bring in; regain; Ex. retrieve the situation
finite	limited
hyperbole	exaggeration; overstatement; ADJ. hyperbolic: of hyperbole; of a hyperbola
apex	tip; summit; climax; highest point
pastoral	rural; of rural life; idyllic; of a pastor
begrudge	envy; give or allow unwillingly; grudge; Ex. We shouldn't begrudge him his success.
sultry	(of weather) hot; sweltering; sensual; voluptuous
margin	border; room; allowance beyond what is needed; Ex. margin of safety
spoonerism	accidental transposition of sounds in successive words; Ex. ``Let me sew you to your sheet'' for ``Let me show you to your seat''; CF. William Spooner
executive	person having administrative authority; one branch of government executing laws; ADJ: relating to executing
smirk	conceited smile; offensively self-satisfied smile (often at someone else's misfortune); V.
unique	without an equal; single in kind
thrifty	careful about money; economical; N. thrift
concede	admit; acknowledge as being true (often reluctantly); yield; grant; Ex. concede a goal
sprout	begin to grow; give off shoots or buds; N: new growth on a plant; shoot
manifold	many in number or kind; numerous; varied
indulge	yield to; gratify; allow oneself a special pleasure; Ex. indulge one's every whim/a child/in a big cigarette; N. indulgence
franchise	right or privilege granted by authority; right to vote; license to sell a product in a particular territory
nullify	make invalid; make null; invalidate
acetic	vinegary
inculcate	teach (ideas or principles); instill
tinge	give a slight degree of a color or quality to; N: slight degree of a color or quality; Ex. tinged with grey/jealousy
submerge	place under water; dip; go under water; cover completely (as with water); Ex. submerged in work
glare	shine intensely and blindingly; stare fixedly and angrily; N.
grouse	complain; fuss; grumble; grouch; N: plump chickenlike game bird
antiquity	quality of being very old; ancient times;
canker	any ulcerous sore; ulcer; any evil; CF. cancer
ogle	look at amorously; make eyes at; Ex. old men ogling young girls
exhort	urge (by strong argument or advice); Ex. The general exhorted his men to fight bravely; N. exhortation
cite	quote; commend; Ex. cited for bravery in an official record
adversary	opponent; enemy
yoke	join together; unite; N: crossbar used to joining two draft animals
obstetrician	physician specializing in delivery(assisting in giving birth) of babies; N. obstetrics; CF. midwife
coma	deep prolonged unconsciousness caused by disease, poison, or a severe blow
punitive	punishing; Ex. punitive measures
aviary	enclosure for birds; large cage
nonplus	put at a loss; bring to a halt by confusion; perplex; CF. no more
hortatory	encouraging; exhortive; marked by exhortation; CF. exhort
blunt	having a dull edge; abrupt and frank in speech or manner; brusque; V: make or become blunt
pacify	soothe; make calm or quiet; subdue; bring peace to
evince	show clearly
chimerical	fantastically improbable; highly unrealistic; N. chimera: unreal fancy; fire-breathing female creature
flourish	grow well; prosper; make sweeping gestures; wave; brandish; Ex. The trees flourished in the sun. N: showy movement or gesture; embellishment or ornamentation (esp. in handwriting)
piety	devoutness; reverence for God; ADJ. pious
pedagogue	teacher; CF. child leader
opprobrium	infamy; disgrace arising from shameful conduct; vilification(slander); scorn; contempt; Ex. opprobrium hurled against him; ADJ. opprobrious: expressing contempt; shameful or infamous
august	impressive; majestic
bristling	rising like bristles; showing irritation
inkling	hint; slight indication
blighted	suffering from a disease; destroyed
pedestal	support or base as for a pillar or statue
allegory	story, play, or picture in which characters are used as symbols; fable
insurrection	rebellion; uprising
spare	give; use; refrain from harming; save from experiencing; exempt; Ex. spare me 5 minutes; Ex. Take this money and spare my life; Ex. The emperor was spared the onus; ADJ: kept in reserve; free for other use; unoccupied; Ex. spare time
harbinger	forerunner (which foreshadows what is to come)
definitive	most reliable; authorative and complete; that cannot be improved; conclusive; decisive; definite; Ex. definitive decision by the supreme court
traumatic	(of an experience) deeply shocking; pertaining to an injury caused by violence; N. trauma: serious wound; emotional shock that causes lasting psychological damage
negligence	neglect; failure to take reasonable care; ADJ. negligent: neglectful; lax; not taking enough care
decimate	kill (usually one out of ten or every tenth man); destroy or kill a large part of
apprehend	arrest (a criminal); dread; perceive; N. apprehension
waft	move gently (in air or in seas) by wind or waves; Ex. leaves wafting past the window
capitulate	surrender; give up all resistance
remit	transmit (money) in payment; free someone from a debt or punishment
exempt	not subject to a duty or obligation; free from a duty; V.
snub	ignore or behave coldly toward; Ex. I made a suggestion but she snubbed me; N.
impetuous	violent; hasty; rash; impulsive; without careful thought; Ex. impetuous decision
spate	sudden flood or rush; Ex. spate of accidents
wizened	shriveled; withered; Ex. wizened apple/old lady
recess	pause; temporary cessation; alcove; secret inner place; Ex. parliament in recess; V. CF. recessive
prod	poke (with a pointed object); stir up; urge; goad to action; N: pointed object used to prod; prodding
liquidate	settle accounts; pay off (a debt); clear up; eliminate; kill or abolish
hindmost	furthest behind; farthest to the rear
cipher	nonentity; worthless person or thing; zero; secret code; V.
dumbfound(dumfound)	astonish (making dumb); ADJ. dumbfounded, dumfounded, dumbstruck
unrequited	not requited; not reciprocated; Ex. unrequited love
primp	groom oneself with care; adorn oneself
avid	greedy; extremely eager for; Ex. avid learner; N. avidity
imbroglio	complicated situation (as in a play); painful or complex misunderstanding (as in a play); entanglement; confused mass (as of papers); V. embroil
dissuade	persuade not to do; discourage; N. dissuasion
agrarian	pertaining to land or its cultivation; Ex. agrarian reform
meddlesome	interfering; V. meddle: interfere
senility	old age; feeblemindedness of old age; ADJ. senile: resulting from old age; showing the weakness of body or mind from old age; Ex. senile dementia
throng	crowd (of people or things); V.
rider	amendment or clause added to a legislative bill
memorial	something, such as a monument or holiday, intended to honor the memory of a person or event; ADJ: commemorative
sere	sear; parched; dry
kinetic	producing motion; of motion
bard	poet
exorcise	drive out evil spirits
jurisdiction	right and power to apply the law; authority
coin	make coins; invent or fabricate (a word or phrase); N. coinage: word or phrase recently invented
yore	time long past; Ex. in the days of yore
anthology	book of literary selections by various authors; CF. omnibus
carafe	glass water bottle; decanter
knack	special talent; art
bastard	illegitimate child
salacious	lascivious; lustful; Ex. salacious monk
incumbent	obligatory; imposed as an obligation; currently holding an office; N: person who holds an office
momentum	quantity of motion of a moving body; impetus; moving force
crave	desire; want intensely
muggy	(of weather) warm and damp
outlandish	bizzare; peculiar; unconventional
scuttle	sink (a ship) by cutting holes in the hull; scrap; discard; N: small hatch in a ship's deck or hull
clairvoyant	having foresight; fortuneteller; N. clairvoyance
responsiveness	state of reacting readily to appeals, orders, etc.; ADJ. responsive: readily reacting; Ex. responsive to treatment
aspersion	slanderous remark; Ex. cast aspersions on
condescend	(derog.) bestow courtesies with a superior air; descend to the level of one considered inferior
glean	gather leavings; gather grain left behind by reapers; gather bit by bit (facts or information) often with difficulty
pungent	stinging; acrid; sharp in taste or smell; (of speech or writing) caustic; N. pungency
killjoy	grouch; spoilsport; one who intentionally spoils the pleasure of others
censor	(in ancient Rome) overseer of morals (also taking the census); person who eliminates inappropriate matter; V.
corporeal	bodily (rather than spiritual); of a bodily form; material; tangible
collage	work of art put together from fragments
vendetta	blood feud (esp. between two families); CF. Nina Williams
